"","TSS","strand","evidence","genename"
"yfbKp3","2383806","reverse","computitional","yfbK "
"yfbLp10","2383827","forward","computitional","yfbL "
"yfbLp5","2383772","forward","computitional","yfbL "
"yfbLp9","2383791","forward","computitional","yfbL "
"yfbNp8","2386576","reverse","computitional","yfbN "
"yfbOp5","2386480","forward","computitional","yfbO "
"yfbOp6","2386561","forward","computitional","yfbO "
"yfbRp4","2406857","forward","computitional","yfbR "
"yfcJp2","2438263","reverse","computitional","yfcJ "
"yfcLp5","2442273","reverse","computitional","yfcL "
"yfcNp6","2446458","forward","computitional","yfcN "
"yfcVp6","2453843","reverse","computitional","yfcV "
"yfcVp7","2453690","reverse","computitional","yfcV "
"yfcVp9","2453676","reverse","computitional","yfcV "
"yfdFp7","2461006","forward","computitional","yfdF "
"yfdFp8","2461007","forward","computitional","yfdF "
"yfdFp9","2461004","forward","computitional","yfdF "
"yfdPp6","2471558","forward","computitional","c(""yfdP"", "" yfdQ "")"
"yfdXp","2492455","reverse","experimental","yfdX "
"yfdYp5","2493355","reverse","computitional","yfdY "
"yfdYp6","2493358","reverse","computitional","yfdY "
"yfeAp5","2515891","reverse","computitional","yfeA "
"yfeCp3","2516406","forward","computitional","c(""yfeC"", "" yfeD "")"
"yfeCp5","2516356","forward","computitional","c(""yfeC"", "" yfeD "")"
"yfeOp1","2507475","forward","computitional","yfeO "
"yfeXp3","2548576","reverse","computitional","yfeX "
"yffOp7","2560015","forward","computitional","c(""yffO"", "" yffP "")"
"yffSp4","2562422","forward","computitional","yffS "
"yfgGp5","2627274","forward","computitional","yfgG "
"yfgGp6","2627208","forward","computitional","yfgG "
"yfgHp10","2627694","forward","computitional","c(""yfgH"", "" yfgI "")"
"yfhHp5","2696729","forward","computitional","yfhH "
"yfiCp3","2710827","reverse","computitional","yfiC "
"yfiEp7","2713366","reverse","computitional","yfiE "
"yfiLp10","2739377","forward","computitional","yfiL "
"yfiLp8","2739369","forward","computitional","yfiL "
"yfiLp9","2739337","forward","computitional","yfiL "
"yfiMp2","2722055","forward","computitional","yfiM "
"yfiRp3","2739844","forward","computitional","c(""yfiR"", "" yfiN "")"
"yfiRp5","2739784","forward","computitional","c(""yfiR"", "" yfiN"", "" yfiB "")"
"yfiRp6","2739773","forward","computitional","c(""yfiR"", "" yfiN "")"
"yfjHp2","2756685","reverse","computitional","yfjH "
"yfjHp3","2756682","reverse","computitional","yfjH "
"yfjIp3","2757000","forward","computitional","yfjI "
"yfjIp9","2756877","forward","computitional","yfjI "
"yfjJp6","2758529","forward","computitional","yfjJ "
"yfjMp3","2764007","reverse","computitional","yfjM "
"yfjPp6","2765666","forward","computitional","c(""yfjP"", "" yfjQ "")"
"yfjWp5","2771307","forward","computitional","yfjW "
"ygaZp8","2807617","forward","computitional","c(""ygaZ"", "" ygaH "")"
"ygbEp3","2871414","reverse","computitional","ygbE "
"ygbIp5","2859463","reverse","computitional","ygbI "
"ygbIp6","2859384","reverse","computitional","ygbI "
"ygcFp7","2903628","reverse","computitional","ygcF "
"ygcGp6","2903688","forward","computitional","ygcG "
"ygdDp2","2939743","reverse","computitional","ygdD "
"ygdQp3","2968414","forward","computitional","ygdQ "
"ygeHp10","2989901","forward","computitional","ygeH "
"ygeIp6","2991603","forward","computitional","ygeI "
"ygeIp7","2991613","forward","computitional","ygeI "
"ygeIp8","2991625","forward","computitional","ygeI "
"yggGp","3079914","forward","experimental","yggG "
"yggIp3","3087681","forward","computitional","yggI "
"yggIp4","3087774","forward","computitional","yggI "
"yggLp2","3100272","reverse","computitional","yggL "
"yggMp3","3097615","reverse","computitional","yggM "
"yggMp4","3097617","reverse","computitional","yggM "
"yghAp5","3147505","forward","computitional","yghA "
"yghDp2","3109233","reverse","computitional","yghD "
"yghJp5","3117281","reverse","computitional","yghJ "
"yghJp6","3117342","reverse","computitional","yghJ "
"yghQp6","3130471","reverse","computitional","yghQ "
"yghTp10","3132038","forward","computitional","yghT "
"yghTp11","3132004","forward","computitional","yghT "
"yghTp5","3131990","forward","computitional","yghT "
"yghTp7","3132106","forward","computitional","yghT "
"yghTp8","3132042","forward","computitional","yghT "
"yghWp6","3144775","reverse","computitional","yghW "
"ygiLp4","3183333","forward","computitional","ygiL "
"ygiLp5","3183364","forward","computitional","ygiL "
"ygiNp2","3171100","forward","computitional","ygiN "
"ygiQp5","3159204","reverse","computitional","ygiQ "
"ygiSp4","3165753","reverse","computitional","ygiS "
"ygiVp2","3167309","reverse","computitional","ygiV "
"ygiWp6","3167771","reverse","computitional","ygiW "
"ygiZp3","3170275","reverse","computitional","ygiZ "
"ygjHp3","3219277","reverse","computitional","ygjH "
"ygjHp4","3219286","reverse","computitional","ygjH "
"ygjQp5","3234535","forward","computitional","ygjQ "
"ygjVp4","3239841","reverse","computitional","ygjV "
"yhaBp3","3265838","forward","computitional","c(""yhaB"", "" yhaC "")"
"yhaHp8","3250285","forward","computitional","yhaH "
"yhaIp10","3250783","forward","computitional","yhaI "
"yhaIp11","3250805","forward","computitional","yhaI "
"yhaJp4","3252302","reverse","computitional","yhaJ "
"yhbQp2","3297961","forward","computitional","yhbQ "
"yhbUp5","3299459","forward","computitional","c(""yhbU"", "" yhbV "")"
"yhbXp6","3319673","reverse","computitional","yhbX "
"yhcAp9","3360116","forward","computitional","c(""yhcA"", "" yhcD"", "" ychE_1 "")"
"yhcCp6","3352240","reverse","computitional","yhcC "
"yhcCp8","3352257","reverse","computitional","yhcC "
"yhcFp4","3364865","forward","computitional","yhcF "
"yhcNp5","3383428","forward","computitional","yhcN "
"yhcNp6","3383503","forward","computitional","yhcN "
"yhdHp6","3401468","forward","computitional","yhdH "
"yhdLp3","3436695","reverse","computitional","arfA "
"yhdTp","3405373","forward","experimental","c(""yhdT"", "" panF"", "" prmA "")"
"yhfAp","3483973","reverse","experimental","yhfA "
"yhfLp4","3497460","forward","computitional","yhfL "
"yhfLp5","3497333","forward","computitional","yhfL "
"yhfLp7","3497435","forward","computitional","yhfL "
"yhfLp8","3497455","forward","computitional","yhfL "
"yhgEp6","3530610","reverse","computitional","yhgE "
"yhgEp7","3530507","reverse","computitional","yhgE "
"yhgEp9","3530560","reverse","computitional","yhgE "
"yhhAp4","3584942","forward","computitional","yhhA "
"yhhIp6","3622196","forward","computitional","yhhI "
"yhhMp4","3603657","reverse","computitional","yhhM "
"yhhNp4","3603598","forward","computitional","yhhN "
"yhhNp6","3603721","forward","computitional","yhhN "
"yhhQp5","3607142","forward","computitional","yhhQ "
"yhhYp","3579134","forward","computitional","yhhY "
"yhhZp5","3579781","forward","computitional","c(""yhhZ"", "" yrhA"", "" insA-6"", "" insAB-6"", "" insB-6 "")"
"yhhZp7","3579864","forward","computitional","c(""yhhZ"", "" yrhA"", "" insA-6"", "" insAB-6"", "" insB-6 "")"
"yhiDp8","3654062","reverse","computitional","yhiD "
"yhiJp6","3630618","reverse","computitional","yhiJ "
"yhiMp9","3632806","forward","computitional","yhiM "
"yhiNp6","3635523","reverse","computitional","yhiN "
"yhjAp","3667284","reverse","experimental","yhjA "
"yhjBp4","3670068","reverse","computitional","yhjB "
"yhjDp5","3671353","forward","computitional","yhjD "
"yhjEp8","3672660","forward","computitional","yhjE "
"yhjEp9","3672780","forward","computitional","yhjE "
"yhjKp2","3683671","reverse","computitional","yhjK "
"yhjRp11","3694390","reverse","computitional","yhjR "
"yhjXp5","3710083","reverse","computitional","yhjX "
"yhjYp9","3711006","reverse","computitional","yhjY "
"yiaBp5","3725790","reverse","computitional","yiaB "
"yiaBp6","3725850","reverse","computitional","yiaB "
"yiaDp3","3714502","forward","computitional","yiaD "
"yiaJp","3740641","reverse","experimental","yiaJ "
"yiaKp","3740697","forward","experimental","c(""yiaK"", "" yiaL"", "" yiaM"", "" yiaN"", "" yiaO"", "" lyxK"", "" sgbH"", "" sgbU"", "" sgbE "")"
"yiaTp3","3749985","reverse","computitional","yiaT "
"yiaTp4","3749898","reverse","computitional","yiaT "
"yiaTp6","3749983","reverse","computitional","yiaT "
"yiaTp8","3749928","reverse","computitional","yiaT "
"yiaUp11","3749919","forward","computitional","yiaU "
"yiaUp8","3750009","forward","computitional","yiaU "
"yiaUp9","3749998","forward","computitional","yiaU "
"yiaYp4","3755903","reverse","computitional","yiaY "
"yiaYp6","3755951","reverse","computitional","yiaY "
"yiaYp7","3755901","reverse","computitional","yiaY "
"yibBp8","3791752","reverse","computitional","htrL "
"yibBp9","3791753","reverse","computitional","htrL "
"yibDp1","3788172","reverse","computitional","yibD "
"yibLp6","3774620","forward","computitional","yibL "
"yibNp7","3783079","reverse","computitional","yibN "
"yibTp5","3774443","reverse","computitional","yibT "
"yibTp7","3774447","reverse","computitional","yibT "
"yicOp10","3841944","reverse","computitional","yicO "
"yidBp3","339010","reverse","computitional","yidB "
"yidEp6","3864413","reverse","computitional","yidE "
"yidRp2","3867435","reverse","computitional","yidR "
"yieHp6","3894785","forward","computitional","yieH "
"yieKp3","3897422","reverse","computitional","yieK "
"yifBp6","3948198","reverse","computitional","yifB "
"yifBp8","3948050","reverse","computitional","yifB "
"yifLp","3992515","forward","experimental","c(""yifL"", "" dapF"", "" yigA"", "" xerC"", "" yigB "")"
"yigFp4","4000898","reverse","computitional","yigF "
"yigFp5","4000865","reverse","computitional","yigF "
"yihFp6","4042154","forward","computitional","yihF "
"yihIp","4049331","forward","experimental","yihI "
"yihLp4","4058442","forward","computitional","c(""yihL"", "" yihM "")"
"yihQp6","4067456","reverse","computitional","yihQ "
"yihQp8","4067386","reverse","computitional","yihQ "
"yihVp3","4071684","forward","computitional","c(""yihV"", "" yihW "")"
"yihVp4","4071735","forward","computitional","c(""yihV"", "" yihW "")"
"yiiEp5","4077203","forward","computitional","yiiE "
"yiiEp7","4077119","forward","computitional","yiiE "
"yiiFp7","4077620","forward","computitional","yiiF "
"yiiFp8","4077585","forward","computitional","yiiF "
"yiiGp7","4084909","forward","computitional","yiiG "
"yiiGp8","4084904","forward","computitional","yiiG "
"yiiMp4","4100807","forward","computitional","yiiM "
"yiiMp5","4100776","forward","computitional","yiiM "
"yiiQp4","4110335","reverse","computitional","yiiQ "
"yijFp5","4135887","reverse","computitional","yijF "
"yijPp9","4148334","reverse","computitional","yijP "
"yjaBp","4212179","reverse","computitional","yjaB "
"yjbEp1","4233881","forward","experimental","c(""yjbE"", "" yjbF"", "" yjbG"", "" yjbH "")"
"yjbEp2","4233895","forward","experimental","c(""yjbE"", "" yjbF"", "" yjbG"", "" yjbH "")"
"yjbLp5","4258182","forward","computitional","c(""yjbL"", "" yjbM "")"
"yjcDp5","4276489","forward","computitional","yjcD "
"yjcDp6","4276341","forward","computitional","yjcD "
"yjcFp6","4281129","reverse","computitional","yjcF "
"yjcOp2","4295174","reverse","computitional","yjcO "
"yjdKp3","4350413","forward","computitional","c(""yjdK"", "" yjdO "")"
"yjdLp1","4354485","reverse","computitional","yjdL "
"yjdLp2","4354436","reverse","computitional","yjdL "
"yjdLp3","4354540","reverse","computitional","yjdL "
"yjdMp5","4324859","reverse","computitional","yjdM "
"yjeFp1","4391700","forward","experimental","c(""yjeF"", "" yjeE"", "" amiB"", "" mutL"", "" miaA"", "" hfq"", "" hflX"", "" hflK"", "" hflC "")"
"yjeFp2","4391960","forward","experimental","c(""yjeF"", "" yjeE"", "" amiB"", "" mutL"", "" miaA"", "" hfq"", "" hflX"", "" hflK"", "" hflC "")"
"yjeFp3","4392058","forward","experimental","c(""yjeF"", "" yjeE"", "" amiB"", "" mutL"", "" miaA"", "" hfq"", "" hflX"", "" hflK"", "" hflC "")"
"yjeJp6","4372426","reverse","computitional","yjeJ "
"yjeKp3","4373726","reverse","computitional","yjeK "
"yjeVp","4390759","forward","experimental","yjeV "
"yjfYp2","4422851","reverse","computitional","yjfY "
"yjfZp8","4425540","reverse","computitional","yjfZ "
"yjgAp8","4456038","reverse","computitional","yjgA "
"yjgBp5","4494289","reverse","computitional","yjgB "
"yjgLp2","4473424","forward","computitional","yjgL "
"yjgMp10","4477694","reverse","computitional","yjgM "
"yjgNp3","4477709","forward","computitional","yjgN "
"yjgNp6","4477589","forward","computitional","yjgN "
"yjgNp7","4477687","forward","computitional","yjgN "
"yjgRp3","4488108","reverse","computitional","yjgR "
"yjhBp4","4502028","forward","computitional","c(""yjhB"", "" yjhC "")"
"yjhBp5","4502029","forward","computitional","c(""yjhB"", "" yjhC "")"
"yjhGp3","4522163","reverse","computitional","yjhG "
"yjhUp9","4518424","reverse","computitional","yjhU "
"yjiKp6","4561658","reverse","computitional","yjiK "
"yjiSp3","4569728","forward","computitional","yjiS "
"yjiSp4","4569743","forward","computitional","yjiS "
"yjjAp8","4598233","reverse","computitional","yjjA "
"yjjJp2","4619680","forward","computitional","yjjJ "
"yjjJp4","4619739","forward","computitional","yjjJ "
"yjjLp5","4592760","reverse","computitional","yjjL "
"yjjQp","4601342","forward","experimental","c(""yjjQ"", "" bglJ "")"
"yjjXp5","4631796","reverse","computitional","yjjX "
"yjjYp6","4638381","forward","computitional","yjjY "
"yjjZp","4603800","forward","computitional","yjjZ "
"yjtDp6","4638921","forward","computitional","yjtD "
"ykgBp10","317558","reverse","computitional","ykgB "
"ykgBp4","317621","reverse","computitional","ykgB "
"ykgBp7","317708","reverse","computitional","ykgB "
"ykgBp9","317749","reverse","computitional","ykgB "
"ykgCp4","319394","reverse","computitional","ykgC "
"ykgDp2","319417","forward","computitional","ykgD "
"ykgDp3","319340","forward","computitional","ykgD "
"ykgEp7","320735","forward","computitional","c(""ykgE"", "" ykgF"", "" ykgG "")"
"ykgEp8","320708","forward","computitional","c(""ykgE"", "" ykgF"", "" ykgG "")"
"ykgEp9","320705","forward","computitional","c(""ykgE"", "" ykgF"", "" ykgG "")"
"ykgMp","312029","reverse","computitional","c(""ykgO"", "" ykgM "")"
"ykgRp","312509","reverse","experimental","ykgR "
"yliEp6","872192","forward","computitional","c(""yliE"", "" yliF "")"
"ymcEp3","1051053","forward","computitional","c(""ymcE"", "" gnsA "")"
"ymdAp5","1104448","forward","computitional","ymdA "
"ymdAp7","1104553","forward","computitional","ymdA "
"ymdBp3","1104937","forward","computitional","c(""ymdB"", "" ymdC "")"
"ymfDp5","1196848","reverse","computitional","ymfD "
"ymfDp6","1196812","reverse","computitional","ymfD "
"ymfDp7","1196884","reverse","computitional","ymfD "
"ymfJp10","1201407","reverse","computitional","ymfJ "
"ymfJp6","1201436","reverse","computitional","ymfJ "
"ymfJp8","1201408","reverse","computitional","ymfJ "
"ymgFp10","1218176","forward","computitional","ymgF "
"ymgFp11","1218163","forward","computitional","ymgF "
"ymgFp7","1218160","forward","computitional","ymgF "
"ymiAp6","1333129","forward","computitional","c(""ymiA"", "" yciX "")"
"ymiAp7","1333080","forward","computitional","c(""ymiA"", "" yciX "")"
"ynaKp10","1423243","forward","computitional","c(""ynaK"", "" ydaY "")"
"ynaKp4","1423337","forward","computitional","c(""ynaK"", "" ydaY "")"
"ynaKp6","1423273","forward","computitional","c(""ynaK"", "" ydaY "")"
"ynaKp8","1423288","forward","computitional","c(""ynaK"", "" ydaY "")"
"ynbAp5","1475495","forward","computitional","c(""ynbA"", "" ynbB"", "" ynbC"", "" ynbD "")"
"yncLp4","1515270","reverse","computitional","yncL "
"yneEp7","1607164","reverse","computitional","yneE "
"yneJp5","1612804","forward","computitional","yneJ "
"yneKp5","1613755","forward","computitional","yneK "
"yneMp","1620612","forward","experimental","yneM "
"ynfAp5","1653714","reverse","computitional","ynfA "
"ynfKp5","1665264","reverse","computitional","ynfK "
"ynfKp6","1665359","reverse","computitional","ynfK "
"ynfLp6","1667676","reverse","computitional","ynfL "
"ynfMp4","1667654","forward","computitional","ynfM "
"ynfMp5","1667657","forward","computitional","ynfM "
"ynfNp5","1636221","reverse","computitional","ynfN "
"ynfNp6","1636323","reverse","computitional","ynfN "
"yniAp5","1805799","forward","computitional","yniA "
"ynjIp4","1842926","reverse","computitional","ynjI "
"ynjIp5","1842910","reverse","computitional","ynjI "
"yoaBp4","1891383","forward","computitional","yoaB "
"yoaCp6","1892124","forward","computitional","yoaC "
"yoaEp","1899796","reverse","experimental","yoaE "
"yoaFp10","1875746","reverse","computitional","yoaF "
"yobBp5","1923388","forward","computitional","c(""yobB"", "" exoX "")"
"yobFp1","1905817","reverse","experimental","c(""cspC"", "" yobF "")"
"yobHp4","1906924","forward","computitional","yobH "
"yodCp6","2026528","reverse","computitional","yodC "
"yohJp4","2228515","forward","computitional","c(""yohJ"", "" yohK "")"
"yohOp6","2213608","forward","computitional","yohO "
"yojIp","2306663","reverse","computitional","yojI "
"ypfGp3","2580915","reverse","computitional","ypfG "
"ypfGp4","2580902","reverse","computitional","ypfG "
"ypjDp5","2745952","forward","computitional","ypjD "
"yqcAp5","2921072","reverse","computitional","yqcA "
"yqcEp6","2898494","forward","computitional","c(""yqcE"", "" ygcE "")"
"yqeCp7","3013189","reverse","computitional","yqeC "
"yqeHp4","2985535","forward","computitional","yqeH "
"yqeHp5","2985530","forward","computitional","yqeH "
"yqeIp5","2986458","forward","computitional","c(""yqeI"", "" yqeJ "")"
"yqeIp6","2986453","forward","computitional","c(""yqeI"", "" yqeJ "")"
"yqeIp7","2986445","forward","computitional","c(""yqeI"", "" yqeJ "")"
"yqeKp11","2988390","reverse","computitional","yqeK "
"yqeKp9","2988405","reverse","computitional","yqeK "
"yqfAp9","3041278","reverse","computitional","yqfA "
"yqhAp8","3147520","reverse","computitional","yqhA "
"yqhDp","3153324","forward","experimental","c(""yqhD"", "" dkgA "")"
"yqiJp7","3190076","forward","computitional","c(""yqiJ"", "" yqiK "")"
"yqiJp8","3190077","forward","computitional","c(""yqiJ"", "" yqiK "")"
"yqjAp1","3245570","forward","experimental","c(""yqjA"", "" mzrA "")"
"yqjFp2","3248488","forward","computitional","yqjF "
"yqjGp2","3248996","forward","computitional","yqjG "
"yqjHp","3214560","reverse","computitional","yqjH "
"yqjHp4","3214561","reverse","computitional","yqjH "
"yqjHp5","3214558","reverse","computitional","yqjH "
"yraHp10","3285384","forward","computitional","yraH "
"yraHp11","3285300","forward","computitional","yraH "
"yraHp5","3285427","forward","computitional","yraH "
"yraHp7","3285386","forward","computitional","yraH "
"yraHp8","3285298","forward","computitional","yraH "
"yraHp9","3285423","forward","computitional","yraH "
"yraMp2","3291233","forward","computitional","lpoA "
"yraQp3","3296196","reverse","computitional","yraQ "
"yraRp6","3296945","reverse","computitional","yraR "
"yrbAp4","3335005","reverse","computitional","yrbA "
"yrbAp9","3334976","reverse","computitional","yrbA "
"yrbGp","3338233","forward","experimental","c(""yrbG"", "" kdsD"", "" kdsC"", "" lptC"", "" lptA"", "" lptB "")"
"yrbNp","3306108","reverse","experimental","c(""deaD"", "" yrbN "")"
"yrfFp10","3524447","forward","computitional","yrfF "
"yrfFp11","3524341","forward","computitional","yrfF "
"yrhBp7","3582757","forward","computitional","yrhB "
"ysgAp","4014366","reverse","computitional","ysgA "
"ytfFp5","4431171","reverse","computitional","ytfF "
"ytfHp5","4432105","forward","computitional","ytfH "
"ytfIp10","4435694","forward","computitional","ytfI "
"ytfIp4","4435696","forward","computitional","ytfI "
"ytfIp9","4435725","forward","computitional","ytfI "
"ytfLp3","4439344","reverse","computitional","ytfL "
"zapAp3","3053573","forward","computitional","zapA "
"zinTp","2039370","forward","experimental","zinT "
"zipAp9","2529429","reverse","computitional","zipA "
"zitBp1","784071","reverse","computitional","zitB "
"zitBp2","784081","reverse","computitional","zitB "
"zntAp","3604445","forward","experimental","zntA "
"zntRp2","3437190","reverse","computitional","zntR "
"znuCp","1940658","forward","experimental","c(""znuC"", "" znuB "")"
"zurp6","4258164","reverse","computitional","zur "
"zwfp","1934400","reverse","experimental","zwf "
"aceEp","122969","forward","experimental","c(""aceE"", "" aceF "")"
"acnAp1","1333448","forward","experimental","acnA "
"acsp2","4285414","reverse","experimental","c(""actP"", "" yjcH"", "" acs "")"
"adap","2308449","reverse","experimental","c(""alkB"", "" ada "")"
"adhEp1","1297636","reverse","experimental","adhE "
"aidBp","4412270","forward","experimental","aidB "
"alkAp","2145583","reverse","experimental","alkA "
"appCp","1036933","forward","computitional","c(""appC"", "" appB"", "" yccB"", "" appA "")"
"araFp","1984262","reverse","experimental","c(""araH"", "" araG"", "" araF "")"
"arrSp","3656077","reverse","computitional","arrS "
"asrp","1669351","forward","experimental","asr "
"bolAp1","453658","forward","experimental","bolA "
"canp","142703","reverse","experimental","can "
"cfap1","1739225","forward","experimental","cfa "
"clpBp","2732227","reverse","experimental","clpB "
"csgBp","1103082","forward","experimental","c(""csgB"", "" csgA"", "" csgC "")"
"csgDp1","1102567","reverse","experimental","c(""csgG"", "" csgF"", "" csgE"", "" csgD "")"
"csgDp2","1102558","reverse","experimental","c(""csgG"", "" csgF"", "" csgE"", "" csgD "")"
"csiEp","2663423","forward","experimental","csiE "
"csrAp1","2817395","reverse","experimental","csrA "
"cyaRp","2165138","forward","experimental","cyaR "
"dgsAp2","1666615","reverse","experimental","c(""ynfK"", "" dgsA "")"
"dinBp","250880","forward","computitional","c(""dinB"", "" yafN"", "" yafO"", "" yafP "")"
"dnaNp1","3880756","reverse","experimental","c(""recF"", "" dnaN "")"
"dnaNp2","3880613","reverse","experimental","c(""recF"", "" dnaN "")"
"dnaNp4","3880371","reverse","experimental","c(""recF"", "" dnaN "")"
"dpsp","848173","reverse","experimental","dps "
"enop4","2905990","reverse","experimental","eno "
"enop7","2906174","reverse","experimental","eno "
"epdp","3071845","reverse","experimental","c(""fbaA"", "" pgk"", "" epd "")"
"ftsQp1","102867","forward","experimental","c(""ftsQ"", "" ftsA"", "" ftsZ "")"
"gabDp1","2789194","forward","experimental","c(""gabD"", "" gabT"", "" gabP "")"
"gadAp","3665630","reverse","experimental","c(""gadX"", "" gadA "")"
"gadBp","1570096","reverse","experimental","c(""gadC"", "" gadB "")"
"galEp1","791304","reverse","experimental","c(""galM"", "" galK"", "" galT"", "" galE "")"
"gapAp1","1860759","forward","experimental","gapA "
"glkp","2507483","reverse","experimental","glk "
"glkp1","2507469","reverse","experimental","glk "
"glnSp2","705222","forward","computitional","glnS "
"gpmAp","786855","reverse","experimental","gpmA "
"gpmAp2","786893","reverse","experimental","gpmA "
"groSp","4368639","forward","computitional","c(""groS"", "" groL "")"
"gyrBp","3878173","reverse","experimental","gyrB "
"hdeAp","3654814","reverse","experimental","c(""yhiD"", "" hdeB"", "" hdeA "")"
"hepAp2","63588","reverse","experimental","hepA "
"hyaAp","1031207","forward","experimental","c(""hyaA"", "" hyaB"", "" hyaC"", "" hyaD"", "" hyaE"", "" hyaF "")"
"ilvYp","3955890","reverse","experimental","ilvY "
"iraDp2","4554879","forward","experimental","iraD "
"lonp","458039","forward","computitional","lon "
"mdoGp2","1108480","forward","experimental","c(""mdoG"", "" mdoH "")"
"mdtKp9","1741399","forward","computitional","mdtK "
"mglBp","2238588","reverse","computitional","c(""mglC"", "" mglA"", "" mglB "")"
"mlrAp","2212862","forward","computitional","mlrA "
"mplp1","4453751","forward","computitional","mpl "
"mtnp","179183","reverse","experimental","c(""yadS"", "" btuF"", "" mtn "")"
"murQp1","2543755","forward","experimental","c(""murQ"", "" murP "")"
"murRp","2543815","reverse","experimental","murR "
"osmBp2","1341393","reverse","experimental","osmB "
"osmEp","1820307","reverse","experimental","osmE "
"osmYp","4609176","forward","experimental","osmY "
"oxyRp","4156480","forward","experimental","oxyR "
"pcnBp3","159171","reverse","experimental","c(""folK"", "" pcnB "")"
"pdhRp","122034","forward","experimental","c(""pdhR"", "" aceE"", "" aceF"", "" lpd "")"
"pfkAp1","4105545","forward","experimental","pfkA "
"pfkAp2","4105497","forward","experimental","pfkA "
"pgip","4231745","forward","experimental","pgi "
"poxBp","910299","reverse","experimental","poxB "
"pqiAp1","1010889","forward","experimental","c(""pqiA"", "" pqiB "")"
"pqiAp2","1010882","forward","experimental","c(""pqiA"", "" pqiB "")"
"proVp1","2802585","forward","experimental","c(""proV"", "" proW"", "" proX "")"
"pstBp1","3906579","reverse","experimental","c(""phoU"", "" pstB "")"
"pstCp","3908565","reverse","experimental","c(""phoU"", "" pstB"", "" pstA"", "" pstC "")"
"pstSp","3909591","reverse","experimental","c(""phoU"", "" pstB"", "" pstA"", "" pstC"", "" pstS "")"
"pykAp1","1935568","forward","experimental","pykA "
"pykAp2","1935518","forward","experimental","pykA "
"pykFp1","1753687","forward","experimental","pykF "
"pykFp2","1753624","forward","experimental","pykF "
"rhaSp","4095734","forward","experimental","c(""rhaS"", "" rhaR "")"
"rpoEp2","2708109","reverse","experimental","c(""rseC"", "" rseB"", "" rseA"", "" rpoE "")"
"rpoHp1","3599026","reverse","experimental","rpoH "
"rrsAp1","4033262","forward","computitional","c(""rrsA"", "" ileT"", "" alaT"", "" rrlA"", "" rrfA "")"
"rrsBp1","4164390","forward","experimental","c(""rrsB"", "" gltT"", "" rrlB"", "" rrfB "")"
"rrsCp1","3939539","forward","computitional","c(""rrsC"", "" gltU"", "" rrlC"", "" rrfC "")"
"rrsDp1","3427069","reverse","experimental","c(""rrfF"", "" thrV"", "" rrfD"", "" rrlD"", "" alaU"", "" ileU"", "" rrsD "")"
"rrsEp","4205886","forward","computitional","c(""rrsE"", "" gltV"", "" rrlE"", "" rrfE "")"
"rrsGp1","2729470","reverse","computitional","c(""rrfG"", "" rrlG"", "" gltW"", "" rrsG "")"
"rrsHp1","223485","forward","experimental","c(""rrsH"", "" ileV"", "" alaV"", "" rrlH"", "" rrfH "")"
"sgrSp","77367","forward","experimental","c(""sgrS"", "" sgrT"", "" setA "")"
"sixAp","2455021","reverse","experimental","sixA "
"sohBp1","1327308","forward","computitional","sohB "
"srmBp4","2710898","forward","computitional","srmB "
"ssrSp2","3053781","forward","experimental","c(""ssrS"", "" ygfA "")"
"topAp5","1328813","forward","experimental","topA "
"tpiAp2","4109592","reverse","experimental","tpiA "
"xapAp","2522932","reverse","experimental","c(""xapB"", "" xapA "")"
"xerDp","3037873","reverse","computitional","c(""recJ"", "" dsbC"", "" xerD "")"
"ybeDp","661929","reverse","computitional","c(""lipB"", "" ybeD "")"
"yceJp","1118294","reverse","computitional","c(""yceI"", "" yceJ "")"
"yciSp","1338159","forward","experimental","c(""yciS"", "" yciM"", "" pyrF"", "" yciH "")"
"yegQp1","2163615","forward","computitional","yegQ "
"yfjPp5","2765664","forward","computitional","c(""yfjP"", "" yfjQ "")"
"ynfEp","1656027","forward","experimental","c(""ynfE"", "" ynfF"", "" ynfG"", "" ynfH"", "" dmsD "")"
"yraHp6","3285313","forward","computitional","yraH "
